time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448150000	20.2993	12.6134	4.86919	1.62212	0.560082	radar	3.48701	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3244	12.8522	4.8666	1.63445	0.543953	lidar	1.72098	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3095	13.087	4.85768	1.66271	0.549551	radar	2.16354	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2732	13.3046	4.83223	1.69348	0.554454	lidar	1.27774	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2329	13.5408	4.82993	1.72105	0.550345	radar	1.32367	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2148	13.7924	4.843	1.7407	0.541484	lidar	1.11819	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.157	14.0227	4.83519	1.77818	0.560198	radar	0.950456	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1044	14.271	4.84868	1.80584	0.559035	lidar	0.244535	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0316	14.5006	4.84524	1.83802	0.562576	radar	1.4348	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9269	14.7462	4.8661	1.87933	0.574798	lidar	1.23671	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8587	14.967	4.85394	1.89786	0.554357	radar	3.42805	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8247	15.1894	4.83606	1.90906	0.538648	lidar	2.12654	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6911	15.4015	4.83302	1.98319	0.628172	radar	8.03484	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6553	15.6008	4.79231	1.99347	0.609129	lidar	3.83216	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5576	15.8107	4.78359	2.02118	0.603916	radar	1.4338	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4554	16.0212	4.77868	2.04992	0.602734	lidar	0.0284795	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3514	16.2321	4.77463	2.06691	0.575037	radar	1.8611	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2395	16.4128	4.74474	2.09738	0.578558	lidar	1.05459	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1184	16.6127	4.74117	2.12739	0.581357	radar	0.323751	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9921	16.8161	4.74441	2.15531	0.580002	lidar	0.0329689	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8351	17.0075	4.7552	2.21222	0.636816	radar	6.41915	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.672	17.2277	4.79557	2.24467	0.635068	lidar	1.487	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5661	17.4347	4.78393	2.23248	0.553352	radar	6.16521	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3598	17.6159	4.81073	2.27857	0.570281	lidar	3.78941	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2229	17.8077	4.80411	2.28314	0.523847	radar	2.51306	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0893	17.9944	4.7951	2.30035	0.515361	lidar	0.912806	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9127	18.1513	4.78846	2.34227	0.543848	radar	1.92644	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7741	18.3009	4.75121	2.3648	0.541135	lidar	1.27309	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6377	18.4851	4.74335	2.37214	0.513481	radar	6.76968	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4498	18.6584	4.76322	2.39973	0.514408	lidar	0.348227	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2671	18.802	4.75542	2.43391	0.528793	radar	1.76902	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1021	18.9414	4.73206	2.4587	0.528256	lidar	0.467662	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9347	19.1115	4.73609	2.47051	0.506967	radar	3.047	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7196	19.2248	4.73221	2.51072	0.522028	lidar	2.70137	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5311	19.3767	4.74134	2.53395	0.521775	radar	3.18333	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3152	19.5291	4.772	2.55959	0.519914	lidar	0.785747	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0906	19.6145	4.76197	2.60916	0.553813	radar	10.0695	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8889	19.7551	4.77427	2.62951	0.545898	lidar	0.768842	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6976	19.8815	4.76042	2.63574	0.504681	radar	3.25414	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
